sub,roi,comparison,fold,acc
25,Foveal 2°,"('face', 'vehicle')",3,1.0
25,Foveal 2°,"('face', 'vehicle')",4,0.0
2,Foveal 2.5°,"('face', 'vehicle')",0,1.0
2,Foveal 2.5°,"('face', 'vehicle')",1,0.0
2,Foveal 2.5°,"('face', 'vehicle')",2,0.0
2,Foveal 2.5°,"('face', 'vehicle')",3,1.0
2,Foveal 2.5°,"('face', 'vehicle')",4,1.0
3,Foveal 2.5°,"('face', 'vehicle')",0,1.0
3,Foveal 2.5°,"('face', 'vehicle')",1,1.0
3,Foveal 2.5°,"('face', 'vehicle')",2,1.0
3,Foveal 2.5°,"('face', 'vehicle')",3,1.0
3,Foveal 2.5°,"('face', 'vehicle')",4,1.0
4,Foveal 2.5°,"('face', 'vehicle')",0,1.0
4,Foveal 2.5°,"('face', 'vehicle')",1,1.0
4,Foveal 2.5°,"('face', 'vehicle')",2,1.0
4,Foveal 2.5°,"('face', 'vehicle')",3,1.0
4,Foveal 2.5°,"('face', 'vehicle')",4,1.0
5,Foveal 2.5°,"('face', 'vehicle')",0,1.0
5,Foveal 2.5°,"('face', 'vehicle')",1,1.0
5,Foveal 2.5°,"('face', 'vehicle')",2,1.0
5,Foveal 2.5°,"('face', 'vehicle')",3,1.0
5,Foveal 2.5°,"('face', 'vehicle')",4,1.0
6,Foveal 2.5°,"('face', 'vehicle')",0,0.0
6,Foveal 2.5°,"('face', 'vehicle')",1,0.0
6,Foveal 2.5°,"('face', 'vehicle')",2,0.0
6,Foveal 2.5°,"('face', 'vehicle')",3,0.0
6,Foveal 2.5°,"('face', 'vehicle')",4,0.0
7,Foveal 2.5°,"('face', 'vehicle')",0,1.0
7,Foveal 2.5°,"('face', 'vehicle')",1,0.0
7,Foveal 2.5°,"('face', 'vehicle')",2,0.0
7,Foveal 2.5°,"('face', 'vehicle')",3,0.0
7,Foveal 2.5°,"('face', 'vehicle')",4,1.0
8,Foveal 2.5°,"('face', 'vehicle')",0,1.0
8,Foveal 2.5°,"('face', 'vehicle')",1,0.0
8,Foveal 2.5°,"('face', 'vehicle')",2,0.0
8,Foveal 2.5°,"('face', 'vehicle')",3,0.0
8,Foveal 2.5°,"('face', 'vehicle')",4,0.0
9,Foveal 2.5°,"('face', 'vehicle')",0,1.0
9,Foveal 2.5°,"('face', 'vehicle')",1,1.0
9,Foveal 2.5°,"('face', 'vehicle')",2,0.0
9,Foveal 2.5°,"('face', 'vehicle')",3,1.0
9,Foveal 2.5°,"('face', 'vehicle')",4,1.0
10,Foveal 2.5°,"('face', 'vehicle')",0,1.0
10,Foveal 2.5°,"('face', 'vehicle')",1,1.0
10,Foveal 2.5°,"('face', 'vehicle')",2,0.0
10,Foveal 2.5°,"('face', 'vehicle')",3,1.0
10,Foveal 2.5°,"('face', 'vehicle')",4,1.0
11,Foveal 2.5°,"('face', 'vehicle')",0,0.0
11,Foveal 2.5°,"('face', 'vehicle')",1,0.0
11,Foveal 2.5°,"('face', 'vehicle')",2,1.0
11,Foveal 2.5°,"('face', 'vehicle')",3,1.0
11,Foveal 2.5°,"('face', 'vehicle')",4,0.0
12,Foveal 2.5°,"('face', 'vehicle')",0,1.0
12,Foveal 2.5°,"('face', 'vehicle')",1,1.0
12,Foveal 2.5°,"('face', 'vehicle')",2,1.0
12,Foveal 2.5°,"('face', 'vehicle')",3,0.0
12,Foveal 2.5°,"('face', 'vehicle')",4,0.0
13,Foveal 2.5°,"('face', 'vehicle')",0,0.0
13,Foveal 2.5°,"('face', 'vehicle')",1,0.0
13,Foveal 2.5°,"('face', 'vehicle')",2,0.0
13,Foveal 2.5°,"('face', 'vehicle')",3,1.0
13,Foveal 2.5°,"('face', 'vehicle')",4,0.0
14,Foveal 2.5°,"('face', 'vehicle')",0,0.0
14,Foveal 2.5°,"('face', 'vehicle')",1,1.0
14,Foveal 2.5°,"('face', 'vehicle')",2,1.0
14,Foveal 2.5°,"('face', 'vehicle')",3,0.0
14,Foveal 2.5°,"('face', 'vehicle')",4,1.0
15,Foveal 2.5°,"('face', 'vehicle')",0,0.0
15,Foveal 2.5°,"('face', 'vehicle')",1,1.0
15,Foveal 2.5°,"('face', 'vehicle')",2,1.0
15,Foveal 2.5°,"('face', 'vehicle')",3,0.0
15,Foveal 2.5°,"('face', 'vehicle')",4,0.0
16,Foveal 2.5°,"('face', 'vehicle')",0,0.0
16,Foveal 2.5°,"('face', 'vehicle')",1,1.0
16,Foveal 2.5°,"('face', 'vehicle')",2,0.0
16,Foveal 2.5°,"('face', 'vehicle')",3,0.0
16,Foveal 2.5°,"('face', 'vehicle')",4,1.0
17,Foveal 2.5°,"('face', 'vehicle')",0,1.0
17,Foveal 2.5°,"('face', 'vehicle')",1,0.0
17,Foveal 2.5°,"('face', 'vehicle')",2,1.0
17,Foveal 2.5°,"('face', 'vehicle')",3,1.0
17,Foveal 2.5°,"('face', 'vehicle')",4,1.0
18,Foveal 2.5°,"('face', 'vehicle')",0,1.0
18,Foveal 2.5°,"('face', 'vehicle')",1,1.0
18,Foveal 2.5°,"('face', 'vehicle')",2,0.0
18,Foveal 2.5°,"('face', 'vehicle')",3,0.0
18,Foveal 2.5°,"('face', 'vehicle')",4,0.0
19,Foveal 2.5°,"('face', 'vehicle')",0,0.0
19,Foveal 2.5°,"('face', 'vehicle')",1,1.0
19,Foveal 2.5°,"('face', 'vehicle')",2,1.0
19,Foveal 2.5°,"('face', 'vehicle')",3,1.0
19,Foveal 2.5°,"('face', 'vehicle')",4,0.0
20,Foveal 2.5°,"('face', 'vehicle')",0,0.0
20,Foveal 2.5°,"('face', 'vehicle')",1,1.0
20,Foveal 2.5°,"('face', 'vehicle')",2,1.0
20,Foveal 2.5°,"('face', 'vehicle')",3,1.0
20,Foveal 2.5°,"('face', 'vehicle')",4,1.0
21,Foveal 2.5°,"('face', 'vehicle')",0,1.0
21,Foveal 2.5°,"('face', 'vehicle')",1,0.0
21,Foveal 2.5°,"('face', 'vehicle')",2,1.0
21,Foveal 2.5°,"('face', 'vehicle')",3,1.0
21,Foveal 2.5°,"('face', 'vehicle')",4,0.0
22,Foveal 2.5°,"('face', 'vehicle')",0,1.0
22,Foveal 2.5°,"('face', 'vehicle')",1,1.0
22,Foveal 2.5°,"('face', 'vehicle')",2,0.0
22,Foveal 2.5°,"('face', 'vehicle')",3,0.0
22,Foveal 2.5°,"('face', 'vehicle')",4,1.0
23,Foveal 2.5°,"('face', 'vehicle')",0,1.0
23,Foveal 2.5°,"('face', 'vehicle')",1,1.0
23,Foveal 2.5°,"('face', 'vehicle')",2,1.0
23,Foveal 2.5°,"('face', 'vehicle')",3,1.0
23,Foveal 2.5°,"('face', 'vehicle')",4,1.0
24,Foveal 2.5°,"('face', 'vehicle')",0,1.0
24,Foveal 2.5°,"('face', 'vehicle')",1,1.0
24,Foveal 2.5°,"('face', 'vehicle')",2,1.0
24,Foveal 2.5°,"('face', 'vehicle')",3,1.0
24,Foveal 2.5°,"('face', 'vehicle')",4,0.0
25,Foveal 2.5°,"('face', 'vehicle')",0,1.0
25,Foveal 2.5°,"('face', 'vehicle')",1,1.0
25,Foveal 2.5°,"('face', 'vehicle')",2,1.0
25,Foveal 2.5°,"('face', 'vehicle')",3,1.0
25,Foveal 2.5°,"('face', 'vehicle')",4,0.0
2,Foveal 3°,"('face', 'vehicle')",0,1.0
2,Foveal 3°,"('face', 'vehicle')",1,0.0
2,Foveal 3°,"('face', 'vehicle')",2,0.0
2,Foveal 3°,"('face', 'vehicle')",3,0.0
2,Foveal 3°,"('face', 'vehicle')",4,1.0
3,Foveal 3°,"('face', 'vehicle')",0,1.0
3,Foveal 3°,"('face', 'vehicle')",1,1.0
3,Foveal 3°,"('face', 'vehicle')",2,1.0
3,Foveal 3°,"('face', 'vehicle')",3,1.0
3,Foveal 3°,"('face', 'vehicle')",4,1.0
4,Foveal 3°,"('face', 'vehicle')",0,1.0
4,Foveal 3°,"('face', 'vehicle')",1,1.0
4,Foveal 3°,"('face', 'vehicle')",2,1.0
4,Foveal 3°,"('face', 'vehicle')",3,1.0
4,Foveal 3°,"('face', 'vehicle')",4,1.0
5,Foveal 3°,"('face', 'vehicle')",0,1.0
5,Foveal 3°,"('face', 'vehicle')",1,1.0
5,Foveal 3°,"('face', 'vehicle')",2,1.0
5,Foveal 3°,"('face', 'vehicle')",3,1.0
5,Foveal 3°,"('face', 'vehicle')",4,1.0
6,Foveal 3°,"('face', 'vehicle')",0,0.0
6,Foveal 3°,"('face', 'vehicle')",1,0.0
6,Foveal 3°,"('face', 'vehicle')",2,0.0
6,Foveal 3°,"('face', 'vehicle')",3,0.0
6,Foveal 3°,"('face', 'vehicle')",4,0.0
7,Foveal 3°,"('face', 'vehicle')",0,1.0
7,Foveal 3°,"('face', 'vehicle')",1,0.0
7,Foveal 3°,"('face', 'vehicle')",2,0.0
7,Foveal 3°,"('face', 'vehicle')",3,0.0
7,Foveal 3°,"('face', 'vehicle')",4,1.0
8,Foveal 3°,"('face', 'vehicle')",0,1.0
8,Foveal 3°,"('face', 'vehicle')",1,0.0
8,Foveal 3°,"('face', 'vehicle')",2,0.0
8,Foveal 3°,"('face', 'vehicle')",3,0.0
8,Foveal 3°,"('face', 'vehicle')",4,0.0
9,Foveal 3°,"('face', 'vehicle')",0,0.0
9,Foveal 3°,"('face', 'vehicle')",1,1.0
9,Foveal 3°,"('face', 'vehicle')",2,0.0
9,Foveal 3°,"('face', 'vehicle')",3,1.0
9,Foveal 3°,"('face', 'vehicle')",4,1.0
10,Foveal 3°,"('face', 'vehicle')",0,1.0
10,Foveal 3°,"('face', 'vehicle')",1,1.0
10,Foveal 3°,"('face', 'vehicle')",2,0.0
10,Foveal 3°,"('face', 'vehicle')",3,1.0
10,Foveal 3°,"('face', 'vehicle')",4,1.0
11,Foveal 3°,"('face', 'vehicle')",0,0.0
11,Foveal 3°,"('face', 'vehicle')",1,0.0
11,Foveal 3°,"('face', 'vehicle')",2,1.0
11,Foveal 3°,"('face', 'vehicle')",3,1.0
11,Foveal 3°,"('face', 'vehicle')",4,0.0
12,Foveal 3°,"('face', 'vehicle')",0,1.0
12,Foveal 3°,"('face', 'vehicle')",1,1.0
12,Foveal 3°,"('face', 'vehicle')",2,1.0
12,Foveal 3°,"('face', 'vehicle')",3,0.0
12,Foveal 3°,"('face', 'vehicle')",4,0.0
13,Foveal 3°,"('face', 'vehicle')",0,0.0
13,Foveal 3°,"('face', 'vehicle')",1,0.0
13,Foveal 3°,"('face', 'vehicle')",2,0.0
13,Foveal 3°,"('face', 'vehicle')",3,1.0
13,Foveal 3°,"('face', 'vehicle')",4,0.0
14,Foveal 3°,"('face', 'vehicle')",0,0.0
14,Foveal 3°,"('face', 'vehicle')",1,1.0
14,Foveal 3°,"('face', 'vehicle')",2,1.0
14,Foveal 3°,"('face', 'vehicle')",3,0.0
14,Foveal 3°,"('face', 'vehicle')",4,0.0
15,Foveal 3°,"('face', 'vehicle')",0,0.0
15,Foveal 3°,"('face', 'vehicle')",1,1.0
15,Foveal 3°,"('face', 'vehicle')",2,0.0
15,Foveal 3°,"('face', 'vehicle')",3,0.0
15,Foveal 3°,"('face', 'vehicle')",4,0.0
16,Foveal 3°,"('face', 'vehicle')",0,0.0
16,Foveal 3°,"('face', 'vehicle')",1,1.0
16,Foveal 3°,"('face', 'vehicle')",2,0.0
16,Foveal 3°,"('face', 'vehicle')",3,0.0
16,Foveal 3°,"('face', 'vehicle')",4,1.0
17,Foveal 3°,"('face', 'vehicle')",0,1.0
17,Foveal 3°,"('face', 'vehicle')",1,0.0
17,Foveal 3°,"('face', 'vehicle')",2,1.0
17,Foveal 3°,"('face', 'vehicle')",3,1.0
17,Foveal 3°,"('face', 'vehicle')",4,1.0
18,Foveal 3°,"('face', 'vehicle')",0,1.0
18,Foveal 3°,"('face', 'vehicle')",1,1.0
18,Foveal 3°,"('face', 'vehicle')",2,0.0
18,Foveal 3°,"('face', 'vehicle')",3,0.0
18,Foveal 3°,"('face', 'vehicle')",4,1.0
19,Foveal 3°,"('face', 'vehicle')",0,0.0
19,Foveal 3°,"('face', 'vehicle')",1,1.0
19,Foveal 3°,"('face', 'vehicle')",2,1.0
19,Foveal 3°,"('face', 'vehicle')",3,1.0
19,Foveal 3°,"('face', 'vehicle')",4,0.0
20,Foveal 3°,"('face', 'vehicle')",0,0.0
20,Foveal 3°,"('face', 'vehicle')",1,1.0
20,Foveal 3°,"('face', 'vehicle')",2,1.0
20,Foveal 3°,"('face', 'vehicle')",3,1.0
20,Foveal 3°,"('face', 'vehicle')",4,1.0
21,Foveal 3°,"('face', 'vehicle')",0,1.0
21,Foveal 3°,"('face', 'vehicle')",1,0.0
21,Foveal 3°,"('face', 'vehicle')",2,1.0
21,Foveal 3°,"('face', 'vehicle')",3,1.0
21,Foveal 3°,"('face', 'vehicle')",4,0.0
22,Foveal 3°,"('face', 'vehicle')",0,1.0
22,Foveal 3°,"('face', 'vehicle')",1,1.0
22,Foveal 3°,"('face', 'vehicle')",2,0.0
22,Foveal 3°,"('face', 'vehicle')",3,0.0
22,Foveal 3°,"('face', 'vehicle')",4,1.0
23,Foveal 3°,"('face', 'vehicle')",0,1.0
23,Foveal 3°,"('face', 'vehicle')",1,1.0
23,Foveal 3°,"('face', 'vehicle')",2,1.0
23,Foveal 3°,"('face', 'vehicle')",3,1.0
23,Foveal 3°,"('face', 'vehicle')",4,1.0
24,Foveal 3°,"('face', 'vehicle')",0,1.0
24,Foveal 3°,"('face', 'vehicle')",1,1.0
24,Foveal 3°,"('face', 'vehicle')",2,1.0
24,Foveal 3°,"('face', 'vehicle')",3,1.0
24,Foveal 3°,"('face', 'vehicle')",4,0.0
25,Foveal 3°,"('face', 'vehicle')",0,1.0
25,Foveal 3°,"('face', 'vehicle')",1,1.0
25,Foveal 3°,"('face', 'vehicle')",2,1.0
25,Foveal 3°,"('face', 'vehicle')",3,1.0
25,Foveal 3°,"('face', 'vehicle')",4,0.0
2,Foveal 3.5°,"('face', 'vehicle')",0,1.0
2,Foveal 3.5°,"('face', 'vehicle')",1,0.0
2,Foveal 3.5°,"('face', 'vehicle')",2,0.0
2,Foveal 3.5°,"('face', 'vehicle')",3,0.0
2,Foveal 3.5°,"('face', 'vehicle')",4,1.0
3,Foveal 3.5°,"('face', 'vehicle')",0,1.0
3,Foveal 3.5°,"('face', 'vehicle')",1,1.0
3,Foveal 3.5°,"('face', 'vehicle')",2,1.0
3,Foveal 3.5°,"('face', 'vehicle')",3,1.0
3,Foveal 3.5°,"('face', 'vehicle')",4,1.0
4,Foveal 3.5°,"('face', 'vehicle')",0,1.0
4,Foveal 3.5°,"('face', 'vehicle')",1,0.0
4,Foveal 3.5°,"('face', 'vehicle')",2,1.0
4,Foveal 3.5°,"('face', 'vehicle')",3,1.0
4,Foveal 3.5°,"('face', 'vehicle')",4,1.0
5,Foveal 3.5°,"('face', 'vehicle')",0,1.0
5,Foveal 3.5°,"('face', 'vehicle')",1,1.0
5,Foveal 3.5°,"('face', 'vehicle')",2,1.0
5,Foveal 3.5°,"('face', 'vehicle')",3,1.0
5,Foveal 3.5°,"('face', 'vehicle')",4,1.0
6,Foveal 3.5°,"('face', 'vehicle')",0,0.0
6,Foveal 3.5°,"('face', 'vehicle')",1,0.0
6,Foveal 3.5°,"('face', 'vehicle')",2,0.0
6,Foveal 3.5°,"('face', 'vehicle')",3,0.0
6,Foveal 3.5°,"('face', 'vehicle')",4,0.0
7,Foveal 3.5°,"('face', 'vehicle')",0,1.0
7,Foveal 3.5°,"('face', 'vehicle')",1,0.0
7,Foveal 3.5°,"('face', 'vehicle')",2,0.0
7,Foveal 3.5°,"('face', 'vehicle')",3,0.0
7,Foveal 3.5°,"('face', 'vehicle')",4,1.0
8,Foveal 3.5°,"('face', 'vehicle')",0,1.0
8,Foveal 3.5°,"('face', 'vehicle')",1,0.0
8,Foveal 3.5°,"('face', 'vehicle')",2,0.0
8,Foveal 3.5°,"('face', 'vehicle')",3,0.0
8,Foveal 3.5°,"('face', 'vehicle')",4,0.0
9,Foveal 3.5°,"('face', 'vehicle')",0,0.0
9,Foveal 3.5°,"('face', 'vehicle')",1,0.0
9,Foveal 3.5°,"('face', 'vehicle')",2,0.0
9,Foveal 3.5°,"('face', 'vehicle')",3,1.0
9,Foveal 3.5°,"('face', 'vehicle')",4,1.0
10,Foveal 3.5°,"('face', 'vehicle')",0,1.0
10,Foveal 3.5°,"('face', 'vehicle')",1,1.0
10,Foveal 3.5°,"('face', 'vehicle')",2,0.0
10,Foveal 3.5°,"('face', 'vehicle')",3,1.0
10,Foveal 3.5°,"('face', 'vehicle')",4,1.0
11,Foveal 3.5°,"('face', 'vehicle')",0,0.0
11,Foveal 3.5°,"('face', 'vehicle')",1,0.0
11,Foveal 3.5°,"('face', 'vehicle')",2,1.0
11,Foveal 3.5°,"('face', 'vehicle')",3,1.0
11,Foveal 3.5°,"('face', 'vehicle')",4,0.0
12,Foveal 3.5°,"('face', 'vehicle')",0,1.0
12,Foveal 3.5°,"('face', 'vehicle')",1,1.0
12,Foveal 3.5°,"('face', 'vehicle')",2,1.0
12,Foveal 3.5°,"('face', 'vehicle')",3,0.0
12,Foveal 3.5°,"('face', 'vehicle')",4,0.0
13,Foveal 3.5°,"('face', 'vehicle')",0,0.0
13,Foveal 3.5°,"('face', 'vehicle')",1,0.0
13,Foveal 3.5°,"('face', 'vehicle')",2,0.0
13,Foveal 3.5°,"('face', 'vehicle')",3,1.0
13,Foveal 3.5°,"('face', 'vehicle')",4,0.0
14,Foveal 3.5°,"('face', 'vehicle')",0,0.0
14,Foveal 3.5°,"('face', 'vehicle')",1,1.0
14,Foveal 3.5°,"('face', 'vehicle')",2,1.0
14,Foveal 3.5°,"('face', 'vehicle')",3,0.0
14,Foveal 3.5°,"('face', 'vehicle')",4,0.0
15,Foveal 3.5°,"('face', 'vehicle')",0,0.0
15,Foveal 3.5°,"('face', 'vehicle')",1,1.0
15,Foveal 3.5°,"('face', 'vehicle')",2,0.0
15,Foveal 3.5°,"('face', 'vehicle')",3,0.0
15,Foveal 3.5°,"('face', 'vehicle')",4,0.0
16,Foveal 3.5°,"('face', 'vehicle')",0,0.0
16,Foveal 3.5°,"('face', 'vehicle')",1,1.0
16,Foveal 3.5°,"('face', 'vehicle')",2,0.0
16,Foveal 3.5°,"('face', 'vehicle')",3,0.0
16,Foveal 3.5°,"('face', 'vehicle')",4,1.0
17,Foveal 3.5°,"('face', 'vehicle')",0,1.0
17,Foveal 3.5°,"('face', 'vehicle')",1,0.0
17,Foveal 3.5°,"('face', 'vehicle')",2,1.0
17,Foveal 3.5°,"('face', 'vehicle')",3,1.0
17,Foveal 3.5°,"('face', 'vehicle')",4,1.0
18,Foveal 3.5°,"('face', 'vehicle')",0,1.0
18,Foveal 3.5°,"('face', 'vehicle')",1,1.0
18,Foveal 3.5°,"('face', 'vehicle')",2,0.0
18,Foveal 3.5°,"('face', 'vehicle')",3,0.0
18,Foveal 3.5°,"('face', 'vehicle')",4,0.0
19,Foveal 3.5°,"('face', 'vehicle')",0,0.0
19,Foveal 3.5°,"('face', 'vehicle')",1,1.0
19,Foveal 3.5°,"('face', 'vehicle')",2,1.0
19,Foveal 3.5°,"('face', 'vehicle')",3,1.0
19,Foveal 3.5°,"('face', 'vehicle')",4,0.0
20,Foveal 3.5°,"('face', 'vehicle')",0,0.0
20,Foveal 3.5°,"('face', 'vehicle')",1,1.0
20,Foveal 3.5°,"('face', 'vehicle')",2,1.0
20,Foveal 3.5°,"('face', 'vehicle')",3,1.0
20,Foveal 3.5°,"('face', 'vehicle')",4,1.0
21,Foveal 3.5°,"('face', 'vehicle')",0,1.0
21,Foveal 3.5°,"('face', 'vehicle')",1,0.0
21,Foveal 3.5°,"('face', 'vehicle')",2,1.0
21,Foveal 3.5°,"('face', 'vehicle')",3,1.0
21,Foveal 3.5°,"('face', 'vehicle')",4,0.0
22,Foveal 3.5°,"('face', 'vehicle')",0,1.0
22,Foveal 3.5°,"('face', 'vehicle')",1,1.0
22,Foveal 3.5°,"('face', 'vehicle')",2,0.0
22,Foveal 3.5°,"('face', 'vehicle')",3,1.0
22,Foveal 3.5°,"('face', 'vehicle')",4,1.0
23,Foveal 3.5°,"('face', 'vehicle')",0,1.0
23,Foveal 3.5°,"('face', 'vehicle')",1,0.0
23,Foveal 3.5°,"('face', 'vehicle')",2,1.0
23,Foveal 3.5°,"('face', 'vehicle')",3,1.0
23,Foveal 3.5°,"('face', 'vehicle')",4,1.0
24,Foveal 3.5°,"('face', 'vehicle')",0,1.0
24,Foveal 3.5°,"('face', 'vehicle')",1,1.0
24,Foveal 3.5°,"('face', 'vehicle')",2,1.0
24,Foveal 3.5°,"('face', 'vehicle')",3,1.0
24,Foveal 3.5°,"('face', 'vehicle')",4,0.0
25,Foveal 3.5°,"('face', 'vehicle')",0,1.0
25,Foveal 3.5°,"('face', 'vehicle')",1,1.0
25,Foveal 3.5°,"('face', 'vehicle')",2,1.0
25,Foveal 3.5°,"('face', 'vehicle')",3,1.0
25,Foveal 3.5°,"('face', 'vehicle')",4,0.0
2,Foveal 4°,"('face', 'vehicle')",0,1.0
2,Foveal 4°,"('face', 'vehicle')",1,0.0
2,Foveal 4°,"('face', 'vehicle')",2,0.0
2,Foveal 4°,"('face', 'vehicle')",3,0.0
2,Foveal 4°,"('face', 'vehicle')",4,1.0
3,Foveal 4°,"('face', 'vehicle')",0,1.0
3,Foveal 4°,"('face', 'vehicle')",1,1.0
3,Foveal 4°,"('face', 'vehicle')",2,1.0
3,Foveal 4°,"('face', 'vehicle')",3,1.0
3,Foveal 4°,"('face', 'vehicle')",4,1.0
4,Foveal 4°,"('face', 'vehicle')",0,1.0
4,Foveal 4°,"('face', 'vehicle')",1,0.0
4,Foveal 4°,"('face', 'vehicle')",2,1.0
4,Foveal 4°,"('face', 'vehicle')",3,1.0
4,Foveal 4°,"('face', 'vehicle')",4,1.0
5,Foveal 4°,"('face', 'vehicle')",0,1.0
5,Foveal 4°,"('face', 'vehicle')",1,1.0
5,Foveal 4°,"('face', 'vehicle')",2,1.0
5,Foveal 4°,"('face', 'vehicle')",3,1.0
5,Foveal 4°,"('face', 'vehicle')",4,1.0
6,Foveal 4°,"('face', 'vehicle')",0,0.0
6,Foveal 4°,"('face', 'vehicle')",1,0.0
6,Foveal 4°,"('face', 'vehicle')",2,0.0
6,Foveal 4°,"('face', 'vehicle')",3,0.0
6,Foveal 4°,"('face', 'vehicle')",4,0.0
7,Foveal 4°,"('face', 'vehicle')",0,1.0
7,Foveal 4°,"('face', 'vehicle')",1,0.0
7,Foveal 4°,"('face', 'vehicle')",2,0.0
7,Foveal 4°,"('face', 'vehicle')",3,0.0
7,Foveal 4°,"('face', 'vehicle')",4,1.0
8,Foveal 4°,"('face', 'vehicle')",0,1.0
8,Foveal 4°,"('face', 'vehicle')",1,0.0
8,Foveal 4°,"('face', 'vehicle')",2,0.0
8,Foveal 4°,"('face', 'vehicle')",3,0.0
8,Foveal 4°,"('face', 'vehicle')",4,0.0
9,Foveal 4°,"('face', 'vehicle')",0,0.0
9,Foveal 4°,"('face', 'vehicle')",1,0.0
9,Foveal 4°,"('face', 'vehicle')",2,0.0
9,Foveal 4°,"('face', 'vehicle')",3,1.0
9,Foveal 4°,"('face', 'vehicle')",4,1.0
10,Foveal 4°,"('face', 'vehicle')",0,1.0
10,Foveal 4°,"('face', 'vehicle')",1,1.0
10,Foveal 4°,"('face', 'vehicle')",2,0.0
10,Foveal 4°,"('face', 'vehicle')",3,1.0
10,Foveal 4°,"('face', 'vehicle')",4,1.0
11,Foveal 4°,"('face', 'vehicle')",0,0.0
11,Foveal 4°,"('face', 'vehicle')",1,0.0
11,Foveal 4°,"('face', 'vehicle')",2,1.0
11,Foveal 4°,"('face', 'vehicle')",3,1.0
11,Foveal 4°,"('face', 'vehicle')",4,0.0
12,Foveal 4°,"('face', 'vehicle')",0,1.0
12,Foveal 4°,"('face', 'vehicle')",1,1.0
12,Foveal 4°,"('face', 'vehicle')",2,1.0
12,Foveal 4°,"('face', 'vehicle')",3,0.0
12,Foveal 4°,"('face', 'vehicle')",4,0.0
13,Foveal 4°,"('face', 'vehicle')",0,0.0
13,Foveal 4°,"('face', 'vehicle')",1,0.0
13,Foveal 4°,"('face', 'vehicle')",2,0.0
13,Foveal 4°,"('face', 'vehicle')",3,1.0
13,Foveal 4°,"('face', 'vehicle')",4,0.0
14,Foveal 4°,"('face', 'vehicle')",0,0.0
14,Foveal 4°,"('face', 'vehicle')",1,1.0
14,Foveal 4°,"('face', 'vehicle')",2,1.0
14,Foveal 4°,"('face', 'vehicle')",3,0.0
14,Foveal 4°,"('face', 'vehicle')",4,1.0
15,Foveal 4°,"('face', 'vehicle')",0,0.0
15,Foveal 4°,"('face', 'vehicle')",1,1.0
15,Foveal 4°,"('face', 'vehicle')",2,0.0
15,Foveal 4°,"('face', 'vehicle')",3,0.0
15,Foveal 4°,"('face', 'vehicle')",4,0.0
16,Foveal 4°,"('face', 'vehicle')",0,0.0
16,Foveal 4°,"('face', 'vehicle')",1,1.0
16,Foveal 4°,"('face', 'vehicle')",2,0.0
16,Foveal 4°,"('face', 'vehicle')",3,0.0
16,Foveal 4°,"('face', 'vehicle')",4,1.0
17,Foveal 4°,"('face', 'vehicle')",0,1.0
17,Foveal 4°,"('face', 'vehicle')",1,0.0
17,Foveal 4°,"('face', 'vehicle')",2,1.0
17,Foveal 4°,"('face', 'vehicle')",3,1.0
17,Foveal 4°,"('face', 'vehicle')",4,1.0
18,Foveal 4°,"('face', 'vehicle')",0,1.0
18,Foveal 4°,"('face', 'vehicle')",1,1.0
18,Foveal 4°,"('face', 'vehicle')",2,0.0
18,Foveal 4°,"('face', 'vehicle')",3,0.0
18,Foveal 4°,"('face', 'vehicle')",4,0.0
19,Foveal 4°,"('face', 'vehicle')",0,0.0
19,Foveal 4°,"('face', 'vehicle')",1,1.0
19,Foveal 4°,"('face', 'vehicle')",2,1.0
19,Foveal 4°,"('face', 'vehicle')",3,1.0
19,Foveal 4°,"('face', 'vehicle')",4,0.0
20,Foveal 4°,"('face', 'vehicle')",0,0.0
20,Foveal 4°,"('face', 'vehicle')",1,1.0
20,Foveal 4°,"('face', 'vehicle')",2,1.0
20,Foveal 4°,"('face', 'vehicle')",3,1.0
20,Foveal 4°,"('face', 'vehicle')",4,1.0
21,Foveal 4°,"('face', 'vehicle')",0,1.0
21,Foveal 4°,"('face', 'vehicle')",1,0.0
21,Foveal 4°,"('face', 'vehicle')",2,1.0
21,Foveal 4°,"('face', 'vehicle')",3,1.0
21,Foveal 4°,"('face', 'vehicle')",4,0.0
22,Foveal 4°,"('face', 'vehicle')",0,1.0
22,Foveal 4°,"('face', 'vehicle')",1,1.0
22,Foveal 4°,"('face', 'vehicle')",2,1.0
22,Foveal 4°,"('face', 'vehicle')",3,1.0
22,Foveal 4°,"('face', 'vehicle')",4,1.0
23,Foveal 4°,"('face', 'vehicle')",0,1.0
23,Foveal 4°,"('face', 'vehicle')",1,0.0
23,Foveal 4°,"('face', 'vehicle')",2,1.0
23,Foveal 4°,"('face', 'vehicle')",3,1.0
23,Foveal 4°,"('face', 'vehicle')",4,1.0
24,Foveal 4°,"('face', 'vehicle')",0,1.0
24,Foveal 4°,"('face', 'vehicle')",1,1.0
24,Foveal 4°,"('face', 'vehicle')",2,0.0
24,Foveal 4°,"('face', 'vehicle')",3,1.0
24,Foveal 4°,"('face', 'vehicle')",4,0.0
25,Foveal 4°,"('face', 'vehicle')",0,1.0
25,Foveal 4°,"('face', 'vehicle')",1,1.0
25,Foveal 4°,"('face', 'vehicle')",2,1.0
25,Foveal 4°,"('face', 'vehicle')",3,1.0
25,Foveal 4°,"('face', 'vehicle')",4,0.0
